Type,Name,Company,"Release Date",Cost(BYN)
Fridge,"Mariela Stanton","Corrine Wiza II","2022-11-01 11:23:56",165
TV,"Dr. Cyrus Streich V","Dr. Tillman Keebler II","2022-11-01 11:24:09",353
Phone,"Sigrid Schamberger IV","Arely Batz","2022-11-01 11:24:09",307
Laptop,"Dr. Taylor Goodwin Sr.","Karlee Ritchie","2022-11-01 11:24:09",0
Laptop,"Lavada Greenholt","Gladys Nitzsche","2022-11-01 11:24:09",592
Phone,"Dr. Alisha Stracke DVM","Hettie Barrows DVM","2022-11-01 11:24:28",244
TV,"Trycia VonRueden","Fidel Grimes","2022-11-01 11:24:28",839
Fridge,"Prof. Merlin Hettinger","Miss Rahsaan Hand II","2022-11-01 11:24:28",279
Fridge,"Dr. Colin Cartwright","Brendan Moen","2022-11-01 11:24:28",914
Laptop,"Mr. Sedrick Volkman","Prof. Lonie Goldner","2022-11-01 11:25:18",434
Laptop,"Asa White","Mr. Brown Ullrich I","2022-11-01 11:25:18",948
TV,"Elbert Block","Gerson Halvorson","2022-11-01 11:25:18",996
Laptop,"Morgan Walker","Frederick Blanda","2022-11-01 11:25:18",940
Laptop,"Tyra Leffler","Prof. Elody West","2022-11-01 11:25:25",446
Phone,"Jessie McKenzie","Taya Christiansen","2022-11-01 11:25:25",574
Laptop,"Stanford Wolf","Isadore Buckridge","2022-11-01 11:25:25",618
TV,"Deshawn Dickens","Ed McCullough Sr.","2022-11-01 11:25:25",410
TV,"Isadore Mayert","Mr. Keyshawn Harber I","2022-11-01 11:25:49",944
Laptop,"Prof. Madge Stehr","Ray Torphy","2022-11-01 11:25:49",414
Fridge,"Dr. Aglae Lynch Sr.","Reginald Von","2022-11-01 11:25:49",892
Laptop,"Amanda Dibbert","Zion Schumm MD","2022-11-01 11:25:49",112
Fridge,"Kaylah Rice","Mr. Roderick Lang III","2022-11-01 11:26:12",603
Laptop,"Nikita Hodkiewicz","Dr. Joesph Hoppe","2022-11-01 11:26:12",601
Fridge,"Ms. Anjali Zieme","Marley Rau DDS","2022-11-01 11:26:12",829
Laptop,"Kareem Bartell","Mr. Abraham Aufderhar DVM","2022-11-01 11:26:12",627
Fridge,qwrq,microsoft,"2012-02-20 03:00:00",12
TV,"Prof. Karen Renner DDS","Julius Feest","2022-11-01 11:26:47",990
Phone,"Arjun Marquardt","Reina Bernier DDS","2022-11-01 11:26:47",908
TV,"Claud Cremin","Michel Toy","2022-11-01 11:26:47",12
Laptop,"Kamron Luettgen","Easter Jacobson","2022-11-01 11:26:47",60
Fridge,qwrq,microsoft,"2012-02-20 03:00:00",12
Phone,"Valentin Sanford Sr.","Horacio Jast","2022-11-01 11:26:55",399
Fridge,"Ona Beatty","Bartholome Batz","2022-11-01 11:26:55",281
TV,"Prof. Sheridan Kub","Stefanie Marks","2022-11-01 11:26:55",251
Fridge,"Alysson Jacobs","Laurianne Jakubowski","2022-11-01 11:26:55",236
Fridge,qwrq,microsoft,"2012-02-20 03:00:00",12
Laptop,"Daisy Wuckert","Mrs. Carolyn Haley","2022-11-01 11:28:36",153
Fridge,"Mireille Herman","Prof. Gene Skiles","2022-11-01 11:28:36",990
Laptop,"Jaclyn Heidenreich I","Mckenzie Macejkovic","2022-11-01 11:28:36",782
Fridge,"Linda Gorczany","Ruthe Ondricka PhD","2022-11-01 11:28:36",310
Phone,"Alivia Balistreri","Abagail Kemmer","2022-11-01 11:29:23",228
Laptop,"Sandrine Rogahn II","Prof. Rosalia Beatty","2022-11-01 11:29:23",967
Phone,"Mr. Ismael Nader IV","Brittany Nienow IV","2022-11-01 11:29:23",497
TV,"Carolyne Collins","Prof. Price Collins","2022-11-01 11:29:23",844
TV,"Kamille Turcotte DDS","Idella Von","2022-11-01 11:30:02",74
Laptop,"Prof. Max Bergstrom","Cassie Adams","2022-11-01 11:30:02",371
TV,"Keely Medhurst","Sarina Donnelly","2022-11-01 11:30:02",370
Fridge,"Susan Reinger MD","Miss Dayana Wyman IV","2022-11-01 11:30:02",413
Fridge,"Icie Rodriguez","Austen Nader","2022-11-01 11:30:14",36
Fridge,"Alvena Braun","Mr. Coy Block V","2022-11-01 11:30:14",181
Laptop,"Alberta Stroman","Mark Jenkins","2022-11-01 11:30:14",279
Laptop,"Ms. Elsa McGlynn II","Miss Mayra Harris","2022-11-01 11:30:14",642
Fridge,"Mr. Ola Heller PhD","Leda Farrell DDS","2022-11-01 11:31:29",549
Fridge,"Rosanna Shanahan DDS","Brandy Larson","2022-11-01 11:31:29",672
Fridge,"Dr. Alana Borer DDS","Nikolas Beier","2022-11-01 11:31:29",868
TV,"Hortense Hilpert V","Miss Alanis Hand","2022-11-01 11:31:30",633
Phone,"Leone Gutkowski","Daren Gottlieb","2022-11-01 11:32:32",684
TV,"Dr. Monty Reilly II","Isabel Haag","2022-11-01 11:32:32",910
TV,"Stacey Aufderhar","Jannie Schmidt","2022-11-01 11:32:32",324
Phone,"Dr. Raheem Hartmann","Sherwood Wisozk","2022-11-01 11:32:32",133
TV,"Thaddeus Howe","Marta Fisher","2022-11-01 11:32:58",36
Laptop,"Prof. Brain Friesen II","Emelie Dach","2022-11-01 11:32:58",225
Fridge,"Dr. Jackson Terry IV","Mr. Kieran Effertz","2022-11-01 11:32:58",146
TV,"Octavia Osinski","Anjali Feil","2022-11-01 11:32:58",16
Phone,"Dr. Demarco Brakus","Zackery Dickinson","2022-11-01 11:33:17",183
TV,"Prof. Modesta Franecki","Cole Wehner","2022-11-01 11:33:17",674
Phone,"Joshuah Legros","Hipolito Gusikowski","2022-11-01 11:33:17",250
Laptop,"Anna Hills","Wilfred Swaniawski","2022-11-01 11:33:17",498
Laptop,"Pierre Turcotte","Kirsten Bailey","2022-11-01 11:34:24",559
Laptop,"Prof. Jaylen Bode","Prof. Stephen Skiles DDS","2022-11-01 11:34:24",544
Laptop,"Maryam Feeney","Pierre Ratke DDS","2022-11-01 11:34:24",413
TV,"Timothy Block II","Derek Pouros","2022-11-01 11:34:24",73
TV,"Mr. Richmond Klein","Ferne Cremin","2022-11-01 11:34:44",568
Fridge,"Karl Lindgren","Santino Kuvalis I","2022-11-01 11:34:44",747
Phone,"Kiel Hackett","Kale Ratke","2022-11-01 11:34:44",773
Fridge,"Dr. Zoe Waelchi","Dr. Chandler Franecki","2022-11-01 11:36:06",957
TV,"Flavio Walsh","Mr. Jerrell Graham DDS","2022-11-01 11:36:06",539
Fridge,"Andre Effertz Sr.","Ms. Eleonore Kling II","2022-11-01 11:36:06",772
Fridge,"Mr. Donnie Spencer Jr.","Skyla Hansen","2022-11-01 11:36:06",748
Phone,"Virgil Cole","Miss Bernadette Gulgowski","2022-11-01 11:36:24",66
Fridge,"Darien Buckridge","Rebekah Christiansen","2022-11-01 11:36:24",599
Laptop,"Kattie Rutherford","Tessie Simonis DDS","2022-11-01 11:36:24",970
Fridge,"Karlee Kertzmann","Pearl Hand Jr.","2022-11-01 11:37:02",431
Fridge,"Damian Beahan","Mrs. Elfrieda Hoeger IV","2022-11-01 11:37:02",600
Phone,"Tierra Abbott","Scottie Schmitt","2022-11-01 11:37:28",779
Fridge,"Eleanore Quigley","Dr. Carlos Heidenreich","2022-11-01 11:37:28",752
TV,"Miss Sincere Hills II","Jefferey Leffler","2022-11-01 11:44:33",818
Laptop,"Van Emard","Prof. Naomie Baumbach","2022-11-01 11:44:33",690
Phone,"Jordi Mohr","Mrs. Freda Leuschke","2022-11-01 11:45:23",366
Phone,"Dr. Clay Abernathy","Dr. Soledad Jenkins PhD","2022-11-01 11:45:23",763
TV,"Isai Fisher","Prof. Lexie Bergstrom IV","2022-11-01 11:45:23",683
Laptop,"Rachel Miller","Richard Ullrich","2022-11-01 11:47:28",391
Fridge,"Daryl Leffler II","Mrs. Shakira Nolan","2022-11-01 11:47:28",605
Phone,"Sister Weimann","Ralph Stokes","2022-11-01 11:47:28",214
TV,"Marjolaine Cronin I","Hermann Dibbert","2022-11-01 11:51:44",966
Phone,"Mr. Gaston Konopelski PhD","Prof. Addie Hegmann","2022-11-01 11:51:44",899
TV,"Dr. Hildegard Moore Sr.","Casandra Champlin Sr.","2022-11-01 11:51:44",978
Laptop,"Yesenia Jast Jr.","Greg Anderson I","2022-11-01 11:54:10",828
Fridge,"Emmalee Purdy","Adah Hermann","2022-11-01 11:54:10",594
Fridge,"Hester Weber V","Khalil Davis","2022-11-01 11:54:10",478
Fridge,"Sedrick Borer","Julianne Emmerich","2022-11-01 11:54:10",8
TV,"Terrill Marquardt","Forrest Labadie MD","2022-11-01 11:55:51",716
Phone,"Gino Mosciski","Demarcus Turner","2022-11-01 11:55:51",785
TV,"Prof. Raul Ledner MD","Presley Toy II","2022-11-01 11:55:51",208
Fridge,"Noel Wunsch","Mr. Nathaniel Hodkiewicz","2022-11-01 11:55:51",868
TV,"Erna VonRueden","Hanna Zieme","2022-11-01 12:03:08",316
Phone,"Judge Lowe","Mr. Joshua Collins MD","2022-11-01 12:03:08",645
Fridge,"Amir Kshlerin","Ms. Shakira Donnelly","2022-11-01 12:03:08",735
Laptop,"Ramon Emard","Norval Davis","2022-11-01 12:03:08",27
Laptop,Oleg,Oleg,"2003-02-12 00:00:00",1234567890
